Id,Front,Left,Rear,Right
2c9180975a056a64015a1e10d3f270fe,0.993170186,0.001243753,0.002178546,0.003407516
2c9180975a056a64015a1de4deb16bdc,0.996141287,0.001140439,0.001080981,0.001637293
2c9180975a056a64015a1e0e70ea70ce,0.994504397,0.001043657,0.001833793,0.002618152
2c9180975a056a64015a1dfed0c46ec6,0.994992785,0.000951575,0.001668487,0.002387153
2c9180975a056a64015a1dfed0c46ec7,0.996177057,0.001085704,0.001057203,0.001680035
2c9180975a056a64015a1e44ba4377f8,0.026948837,0.005040179,0.722543977,0.245467007
2c9180975a056a64015a1e010c8f6ee1,0.996110718,0.001136837,0.001077568,0.001674877
2c9180975a056a64015a1e1db63072aa,0.992813563,0.001308756,0.002322022,0.00355566
2c9180975a056a64015a1e1db63072a8,0.001477391,0.001907169,0.995556253,0.001059187
2c9180975a056a64015a1e2354f5733c,0.001419318,0.001577989,0.995997507,0.001005186
2c9180975a056a64015a1e07928f6ff8,0.995548299,0.001409506,0.001116736,0.001925459
2c9180975a056a64015a1e20a607730a,0.996328137,0.001042798,0.001015423,0.001613642
2c9180975a056a64015a1e3322e37587,0.008960334,0.094448873,0.894952205,0.001638588
2c9180975a056a64015a1e050c296fcd,0.994097504,0.001170507,0.001952047,0.002779942
2c9180975a056a64015a1e050c296fcf,0.995037113,0.000907067,0.001668561,0.002387259
2c9180975a056a64015a1e04ad9f6f84,0.001610721,0.002269324,0.995008753,0.001111202
2c9180975a056a64015a1de7a19c6c2b,0.993753782,0.00107333,0.00201741,0.003155478
2c9180975a056a64015a1e1180a37123,0.001443606,0.00166009,0.995873916,0.001022388
2c9180975a056a64015a1e1d735c729b,0.994503528,0.001371052,0.001368381,0.002757039
2c9180975a056a64015a1e1d735c729c,0.001417552,0.002820119,0.994758393,0.001003936
2c9180975a056a64015a1e41bbc27765,0.990720977,0.001785277,0.003170242,0.004323503
2c9180975a056a64015a1e41bbc2775e,0.992488872,0.001298685,0.002402658,0.003809785
2c9180975a056a64015a1ddc1a306b28,0.001442973,0.002098087,0.995437001,0.001021939
2c9180975a056a64015a1de453e96baf,0.996177057,0.001085704,0.001057203,0.001680035
2c9180975a056a64015a1e264d5f73c0,0.994097504,0.001170507,0.001952047,0.002779942
2c9180975a056a64015a1e23443e7337,0.996154842,0.001136432,0.001077184,0.001631542
2c9180975a056a64015a1dce7ac869b5,0.001443606,0.00166009,0.995873916,0.001022388
2c9180975a056a64015a1e35cd3175a7,0.001443312,0.001863177,0.995671331,0.00102218
2c9180975a056a64015a1de210cb6b96,0.994989291,0.000951572,0.001671992,0.002387145
2c9180975a056a64015a1de210cb6b95,0.006828194,0.011023675,0.980724962,0.001423169
2c9180975a056a64015a1e041ed06f68,0.001584919,0.001577728,0.995832333,0.00100502
2c9180975a056a64015a1e075da56ff2,0.996328137,0.001042798,0.001015423,0.001613642
2c9180975a056a64015a1dedca666cb1,0.001477272,0.002000679,0.995475819,0.00104623
2c9180975a056a64015a1e304546752a,0.994441375,0.001102315,0.001838324,0.002617986
2c9180975a056a64015a1dedca666cb2,0.99604055,0.00112012,0.001062036,0.001777294
2c9180975a056a64015a1dee86696cd8,0.322136535,0.005749067,0.009220729,0.662893669
2c9180975a056a64015a1e01db306f4a,0.009293189,0.007643183,0.981508135,0.001555493
2c9180975a056a64015a1dd566ae6a82,0.995026095,0.000907057,0.001679615,0.002387233
2c9180975a056a64015a1dee5d166cd0,0.996328137,0.001042798,0.001015423,0.001613642
2c9180975a056a64015a1dd566ae6a83,0.001443312,0.001863177,0.995671331,0.00102218
2c9180975a056a64015a1dfb2f626e41,0.995769117,0.001408046,0.001055867,0.00176697
2c91809a59f17e5d015a21a5627830e0,0.001443606,0.00166009,0.995873916,0.001022388
2c91809a59f17e5d015a21a7f5093117,0.951488127,0.001862564,0.00373516,0.042914149
2c91809a59f17e5d015a21a7f5093121,0.006435759,0.004732608,0.987613991,0.001217641
2c9180975a056a64015a1e4c3a11791f,0.995926418,0.001250299,0.001056034,0.001767249
2c9180975a056a64015a1e4c3a117920,0.009699175,0.004864759,0.983780222,0.001655845
2c9180975a056a64015a1e1433667153,0.008373499,0.005051653,0.98517927,0.001395577
2c9180975a056a64015a1ddb8a456b05,0.992680128,0.002048104,0.001941325,0.003330443
2c9180975a056a64015a1df0d6066cf4,0.001443626,0.001646408,0.995887564,0.001022402
2c9180975a056a64015a1e074c876fef,0.996154842,0.001136432,0.001077184,0.001631542
2c9180975a056a64015a1dc26fe66863,0.012369634,0.008576104,0.977493897,0.001560365
2c9180975a056a64015a1e074c876fed,0.996110718,0.001136837,0.001077568,0.001674877
2c9180975a056a64015a1e5b850e7ae3,0.996053359,0.001122764,0.00109329,0.001730587
2c9180975a056a64015a1e5b850e7ae1,0.996018398,0.001158058,0.001056132,0.001767412
2c91809e5aba7d25015acd6875ca209b,0.995029403,0.00090706,0.001676297,0.002387241
2c91809e5aba7d25015acd44a99d1e9f,0.996323439,0.001042793,0.001020134,0.001613634
2c9180a35b853b13015b8b8c25f75369,0.001638753,0.002060692,0.995170014,0.001130541
2c9180935b853a2d015b8b9b42525153,0.001866414,0.002579813,0.994298932,0.001254841
2c91808e5aba7da4015acd3f993557d4,0.001866414,0.002579813,0.994298932,0.001254841
2c91808e5aba7da4015acd3f655a57be,0.996328137,0.001042798,0.001015423,0.001613642
2c9180ad5b853aa1015b8b82f7725436,0.996149826,0.001163737,0.001079415,0.001607023
2c9180975a056a64015a1e5865077a5e,0.001700153,0.002287172,0.990400896,0.00561178
2c9180975a056a64015a1e44cfea77fd,0.990820728,0.001213189,0.002337856,0.005628228
2c9180975a056a64015a1e5ed1d57b22,0.996153308,0.001136886,0.001077614,0.001632192
2c9180975a056a64015a1e5ed1d57b21,0.001443511,0.001725799,0.995808369,0.001022321
2c91809a59f17e5d015a219e78d93061,0.996040864,0.00112012,0.001061722,0.001777294
2c91809a59f17e5d015a219e78d93060,0.001418644,0.002051843,0.995524804,0.001004709
2c91809a59f17e5d015a21bde7a934f0,0.001745672,0.002542575,0.994475025,0.001236728
2c91809a59f17e5d015a21bde7a934ef,0.001499129,0.00193523,0.995503931,0.00106171
2c91809a59f17e5d015a21bde7a934f4,0.986258523,0.003851393,0.003223081,0.006667004
2c9180975a056a64015a1e6ed9d67c45,0.991097302,0.001919347,0.001459204,0.005524147
2c9180975a056a64015a1e4849057896,0.007374921,0.002684233,0.988846764,0.001094083
2c9180975a056a64015a1e4849057895,0.991163798,0.001891317,0.001501414,0.005443471
2c91809a59f17e5d015a21a830a03132,0.001811493,0.003523058,0.99338209,0.001283359
2c9180975a056a64015a1e6ed9d67c4d,0.995926418,0.001250299,0.001056034,0.001767249
2c91809659f86230015a08b10bc66c48,0.996053359,0.001122764,0.00109329,0.001730587
2c91809659f86230015a0a1559e12a1e,0.994852567,0.001577213,0.001297225,0.002272995
2c91809659f86230015a0811d9775e26,0.839781571,0.002248825,0.00453093,0.153438674
2c91809659f86230015a08cf83396eca,0.996018398,0.001158058,0.001056132,0.001767412
2c91809659f86230015a0886ce2a6829,0.996154842,0.001136432,0.001077184,0.001631542
2c91809659f86230015a08cf83396ec5,0.996191378,0.001125634,0.001066949,0.001616039
2c91809659f86230015a0864733f652c,0.007790473,0.00312994,0.987863561,0.001216026
2c91809659f86230015a0841dafc621a,0.99604055,0.00112012,0.001062036,0.001777294
2c91809659f86230015a0864733f652a,0.001443626,0.001646408,0.995887564,0.001022402
2c91808d5aba7da4015acde018f764b2,0.988334789,0.00195361,0.003672591,0.00603901
2c91808d5aba7da4015acde018f764af,0.001442973,0.002098087,0.995437001,0.001021939
2c91808e5aba7da4015acdba35e15e7d,0.001443606,0.00166009,0.995873916,0.001022388
2c91808e5aba7da4015acdea5abc617e,0.994517917,0.001038474,0.00183846,0.002605149
2c9180845aba7d30015acdbd097004e6,0.991424768,0.001412896,0.002599041,0.004563294
2c91808d5aba7da4015acdaa928a6136,0.001419318,0.001577989,0.995997507,0.001005186
2c91808e5aba7da4015acd7e578b5afa,0.001569934,0.002026632,0.993544759,0.002858675
2c91808d5aba7da4015acd8d91465f64,0.008894326,0.003110399,0.986713057,0.001282218
2c91808d5aba7da4015acd8d91465f61,0.962161728,0.002197208,0.004196971,0.031444094
2c91808e5aba7da4015acd7e578b5afd,0.995008793,0.000907041,0.001696975,0.002387191
2c91808e5aba7da4015acd9760c15c1b,0.995947572,0.001186341,0.001071846,0.001794242
2c91808e5aba7da4015acd9760c15c1a,0.001487447,0.001988851,0.995467451,0.001056251
2c9180845aba7d30015acde7e47f06a4,0.995029403,0.00090706,0.001676297,0.002387241
2c91808e5aba7da4015acde2207160e7,0.989716516,0.001663324,0.003131258,0.005488902
2c91808e5aba7da4015acde486e76119,0.995037113,0.000907067,0.001668561,0.002387259
2c91808e5aba7da4015acde2207160e8,0.005680036,0.005524223,0.987671139,0.001124602
2c91808e5aba7da4015acddff6ac60c5,0.993541691,0.001111434,0.002079373,0.003267501
2c9180845aba7d30015acde7e47f06aa,0.006151988,0.003088069,0.989474136,0.001285806
2c91808d5aba7da4015acdec7849655c,0.993532097,0.001111424,0.00208901,0.00326747
2c9180975a056a64015a1e4e95a97945,0.00145145,0.002202399,0.995318209,0.001027943
2c9180975a056a64015a1e62a6f57b6d,0.996154842,0.001136432,0.001077184,0.001631542
2c9180975a056a64015a1e62a6f57b6e,0.008422783,0.004548741,0.985760231,0.001268245
2c9180975a056a64015a1e44fa15781d,0.995926418,0.001250299,0.001056034,0.001767249
2c9180975a056a64015a1e3f26a47717,0.996110718,0.001136837,0.001077568,0.001674877
2c9180975a056a64015a1e58d40e7aa8,0.008498841,0.003668586,0.986196971,0.001635602
2c9180975a056a64015a1e44e95b7800,0.894634771,0.002395714,0.00490922,0.098060294
2c9180975a056a64015a1e44e95b7808,0.906594429,0.002404471,0.004242833,0.086758267
2c9180975a056a64015a1e44e95b780f,0.995029403,0.00090706,0.001676297,0.002387241
2c91808e5aba7da4015acd4229d357fe,0.006093991,0.005106476,0.987661545,0.001137988
2c91809e5aba7d25015acdc01e892881,0.002403738,0.004954684,0.991262776,0.001378802
2c91808e5aba7da4015acd3f655a57c2,0.001443312,0.001863177,0.995671331,0.00102218
2c91809e5aba7d25015acd47c6251ed2,0.001663507,0.002285638,0.994869582,0.001181273
2c9180ad5b853aa1015b8b5aeef751bd,0.995523809,0.00121488,0.001188482,0.00207283
2c91809e5aba7d25015acd49fc7b1f01,0.994087798,0.001170495,0.001961793,0.002779914
2c91808e5aba7da4015acd2dfdd056ff,0.00145145,0.002202399,0.995318209,0.001027943
2c9180a35b853b13015b8b57334a5047,0.304458979,0.005726046,0.011171797,0.678643178
2c9180935b853a2d015b8b60875a4cef,0.681972599,0.276175599,0.037678433,0.00417337
2c91809e5aba7d25015acdc01e892888,0.957938081,0.003740392,0.0045669,0.033754627
2c91808d5aba7da4015acd47ee815caa,0.001876277,0.003863294,0.990121549,0.004138879
2c9180845aba7d30015acdc866670576,0.024490977,0.005351934,0.347059501,0.623097588
2c91808d5aba7da4015acd47ee815ca0,0.969194953,0.013666724,0.014415228,0.002723095
2c9180ad5b853aa1015b8c0df5d85bf3,0.063634877,0.0056743,0.208349848,0.722340975
2c9180ad5b853aa1015b8c0df5d85bf8,0.996040864,0.00112012,0.001061722,0.001777294
2c91808e5aba7da4015acd5409db58f7,0.570751081,0.00296812,0.004185832,0.422094968
2c9180935b853a2d015b8bd0b96954a9,0.996154842,0.001136432,0.001077184,0.001631542
2c91808e5aba7da4015acd9f8e0d5c94,0.001732287,0.003950996,0.993089471,0.001227246
2c9180ad5b853aa1015b8b69c6a95289,0.994232239,0.00153946,0.001525492,0.002702809
2c91809e5aba7d25015acd4d0d041f3f,0.995037113,0.000907067,0.001668561,0.002387259
2c9180ad5b853aa1015b8b69c6a95292,0.001773144,0.003964065,0.993006601,0.00125619
2c91809e5aba7d25015acd4d0d041f3c,0.006339239,0.006345483,0.986078571,0.001236706
2c9180845aba7d30015acd5c653c00d9,0.006106136,0.009898441,0.98285212,0.001143303
2c9180ad5b853aa1015b8b9bfc775648,0.006106136,0.009898441,0.98285212,0.001143303
2c9180a35b853b13015b8b725f9851ce,0.001478758,0.002014949,0.995456212,0.001050081
2c9180845aba7d30015acd5c653c00be,0.996328137,0.001042798,0.001015423,0.001613642
2c91808e5aba7da4015acd44d6df5829,0.001968871,0.005590196,0.99106241,0.001378523
2c9180935b853a2d015b8b9a210c513c,0.001511587,0.002047153,0.995370726,0.001070533
2c91808e5aba7da4015acd44d6df5823,0.001511587,0.002047153,0.995370726,0.001070533
2c9180935b853a2d015b920353111f7c,0.00679828,0.007223034,0.984709179,0.001269507
